Manufacturer,Year,Disengagement,Disengagement_main,Disengagement_first_time_flier,Disengagement_Driverless,Mileage,Mileage_main,Mileage_first_time_flier,Mileage_Driverless,Collision,Disengagement_per_Mile,Collision_per_Mile,Disengagement_if_capable_without_driver_per_Mile,Disengagement_if_not_capable_without_driver_per_Mile,Disengagement_if_driverless_per_Mile,Disengagement_if_initiated_by_human_per_Mile,Disengagement_if_initiated_by_AV_per_Mile,without_a_driver_=_Yes,without_a_driver_=_No,initiated_by_Human,initiated_by_AV,Collision in manual mode per Mile,Collision in Autonomous mode per Mile,Collision if damage is none per Mile,Collision if damaged per Mile,Collision if no injury per Mile,Collision if injury per Mile,Collision if not at fault per Mile,Collision if at fault per Mile,Collision if other human not involved per Mile,Collision if other human involved per Mile,Collision if rear per Mile,Collision if front per Mile,Collision if sides per Mile,Collision if stopped per Mile,Collision if moving per Mile,Disengagement if street per Mile,Disengagement if freeway per Mile,Disengagement if highway per Mile,Street,Freeway,Highway,Rural Road,Parking Facility,mode1_manual,mode1_auto,mode1_auto_disengaged,mode2_manual,mode2_auto,damage1_none,damage1_minor,damage1_mod,damage1_major,damage2_none,damage2_damaged,injury2_no_injury,injury2_minor_AV,injury2_minor_Human,injury3_no_injury,injury3_injured,fault2_not_at_fault,fault2_at_fault,involed2_none,involed2_Human,contact2_none,contact2_rear,contact2_front,contact2_sides,turn2_stopped,turn2_moving
Nullmax,2019,70,70,0,0,2430,2430,0,0,0,0.02880658436,0,0.02880658436,0,-0.000005,0.02633744856,0.002469135802,70,0,64,6,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,-0.0004115226337,0.004938271605,0,0.01851851852,12,0,45,13,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Nuro,2019,34,34,0,0,68760,68760,0,0,0,0.0004944735311,0,0,0.0004944735311,-0.000005,0.0004944735311,0,0,34,34,0,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,-0.00001454333915,0.0004944735311,0,0,34,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
NVIDIA,2019,655,655,0,0,7218,7218,0,0,0,0.09074535883,0,0,0.09074535883,-0.000005,0.08880576337,0.001939595456,0,655,641,14,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,-0.0001385425326,0.004710446107,0.07952341369,0.00651149903,34,574,47,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Phantom AI,2019,43,43,0,0,1125,1125,0,0,0,0.03822222222,0,0,0.03822222222,-0.000005,0.03822222222,0,0,43,43,0,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,-0.0008888888889,0.03822222222,0,0,43,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
PlusAI,2019,2,2,0,0,1880,1880,0,0,0,0.001063829787,0,0,0.001063829787,-0.000005,0.001063829787,0,0,2,2,0,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,-0.0005319148936,0,0,0.001063829787,0,0,2,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Pony.ai,2019,27,27,0,0,174845.29,174845.29,0,0,2,0.0001544222324,0.00001143868388,0,0.0001544222324,-0.000005,0.0001487028904,0.000005719341939,0,27,26,1,0,0,0,0.00001143868388,0.00001143868388,0,0.00001143868388,0,0.00001143868388,0,0,0.00001143868388,0,0.000005719341939,0.000005719341939,0.0001544222324,0,0,27,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,2,0,0,2,0,2,0,2,0,0,0,2,0,1,1
QCraft,2019,9,0,9,0,4547,0,4547,0,0,0.001979327029,0,0,0.001979327029,-0.000005,0.001539476578,0.0004398504508,0,9,7,2,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,-0.0002199252254,0.001759401803,0,0,8,0,0,0,1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Qualcomm,2019,37,37,0,0,2165,2165,0,0,0,0.01709006928,0,0,0.01709006928,-0.000005,0.01709006928,0,0,37,37,0,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,-0.0004618937644,0,0.01709006928,0,0,37,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
RIDECELL,2019,6,0,6,0,8.69,0,8.69,0,0,0.6904487917,0,0,0.6904487917,-0.000005,0.6904487917,0,0,6,6,0,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,-0.000005150747986,0.6904487917,0,0,6,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
SAIC,2019,40,40,0,0,2229,2229,0,0,0,0.01794526694,0,0.01794526694,0,-0.000005,0.01794526694,0,40,0,40,0,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,-0.0004486316734,0.01794526694,0,0,40,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
