Manufacturer,Year,Disengagement,Disengagement_main,Disengagement_first_time_flier,Disengagement_Driverless,Mileage,Mileage_main,Mileage_first_time_flier,Mileage_Driverless,Collision,Disengagement_per_Mile,Collision_per_Mile,Disengagement_if_capable_without_driver_per_Mile,Disengagement_if_not_capable_without_driver_per_Mile,Disengagement_if_driverless_per_Mile,Disengagement_if_initiated_by_human_per_Mile,Disengagement_if_initiated_by_AV_per_Mile,without_a_driver_=_Yes,without_a_driver_=_No,initiated_by_Human,initiated_by_AV,Collision in manual mode per Mile,Collision in Autonomous mode per Mile,Collision if damage is none per Mile,Collision if damaged per Mile,Collision if no injury per Mile,Collision if injury per Mile,Collision if not at fault per Mile,Collision if at fault per Mile,Collision if other human not involved per Mile,Collision if other human involved per Mile,Collision if rear per Mile,Collision if front per Mile,Collision if sides per Mile,Collision if stopped per Mile,Collision if moving per Mile,Disengagement if street per Mile,Disengagement if freeway per Mile,Disengagement if highway per Mile,Street,Freeway,Highway,Rural Road,Parking Facility,mode1_manual,mode1_auto,mode1_auto_disengaged,mode2_manual,mode2_auto,damage1_none,damage1_minor,damage1_mod,damage1_major,damage2_none,damage2_damaged,injury2_no_injury,injury2_minor_AV,injury2_minor_Human,injury3_no_injury,injury3_injured,fault2_not_at_fault,fault2_at_fault,involed2_none,involed2_Human,contact2_none,contact2_rear,contact2_front,contact2_sides,turn2_stopped,turn2_moving
RIDECELL,2020,189,189,0,0,148,0,0,0,0,1.277027027,0,0,1.277027027,-0.000005,1.277027027,0,0,189,189,0,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,-0.006756756757,1.277027027,0,0,189,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
SAIC,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
SF Motors,2020,61,61,0,0,874,0,0,0,0,0.06979405034,0,0,0.06979405034,-0.000005,0.06979405034,0,0,61,61,0,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,-0.00114416476,0.02860411899,0,0.04118993135,25,0,36,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Telenav,2020,2,2,0,0,4,0,0,0,0,0.5,0,0.5,0,-0.000005,0.5,0,2,0,2,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Tesla,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
ThorDrive,2020,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Toyota,2020,1215,1215,0,0,2875,0,0,0,0,0.4226086957,0,0,0.4226086957,-0.000005,0.4226086957,0,0,1215,1215,0,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,-0.000347826087,0.4226086957,0,0,1215,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
UATC,2020,31,0,31,0,14,0,14,0,0,2.214285714,0,0,2.214285714,-0.000005,2.214285714,0,0,31,31,0,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,-0.07142857143,2.214285714,0,0,31,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Udelv,2020,49,49,0,0,66,0,0,0,0,0.7424242424,0,0.7424242424,0,-0.000005,0.7424242424,0,49,0,49,0,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,-0.01515151515,0.7424242424,0,0,49,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Valeo,2020,99,99,0,0,49,0,0,0,0,2.020408163,0,0,2.020408163,-0.000005,1.612244898,0.4081632653,0,99,79,20,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,-0.02040816327,2.020408163,0,0,99,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Waymo,2020,21,21,0,0,628836,0,0,0,11,0.00003339503464,0.00001749263719,0,0.00003339503464,-0.000005,0.00002544383591,0.000007951198723,0,21,16,5,0.000006360958978,0.000007951198723,0,0.00001749263719,0.00001590239745,0.000001590239745,0.00001113167821,0.000006360958978,0.00001749263719,0,0.0000143121577,0.000003180479489,0,0.000007951198723,0.000009541438467,0.00002703407566,0,0.000006360958978,17,0,4,0,0,4,5,2,4,7,0,9,1,1,0,11,10,1,0,10,1,7,4,11,0,0,9,2,0,5,6
WeRide,2020,2,2,0,0,13014,0,0,0,0,0.0001536806516,0,0,0.0001536806516,-0.000005,0.0001536806516,0,0,2,2,0,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,-0.0000768403258,0,0,0.0001536806516,0,0,2,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Zoox,2020,63,63,0,0,102521,0,0,0,13,0.0006145082471,0.0001268032891,0,0.0006145082471,-0.000005,0.0006145082471,0,0,63,63,0,0.00006827869412,0.00005852459496,0.00002926229748,0.0000975409916,0.0001268032891,0,0.0001072950908,0.00001950819832,0.0001268032891,0,0.00006827869412,0.00003901639664,0,0.00005852459496,0.00006827869412,0.0006145082471,0,0,63,0,0,0,0,7,6,0,7,6,3,8,2,0,3,10,13,0,0,13,0,11,2,13,0,2,7,4,0,6,7
AImotive,2021,106,106,0,0,2976,2976,0,0,0,0.03561827957,0,0,0.03561827957,-0.000005,0.03561827957,0,0,106,106,0,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,-0.0003360215054,0,0.03561827957,0,0,106,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Apollo,2021,1,1,0,0,11031.6,1467,0,9564.6,0,0.00009064868197,0,0.00009064868197,0,0,0.00009064868197,0,1,0,1,0,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,-0.00009064868197,0.00009064868197,0,0,1,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Apple,2021,663,663,0,0,13272,13272,0,0,5,0.04995479204,0.0003767329717,0,0.04995479204,-0.000005,0.04264617239,0.00730861965,0,663,566,97,0.0003013863773,0.00007534659433,0.00007534659433,0.0003013863773,0.0003767329717,0,0.0003013863773,0.00007534659433,0.0003767329717,0,0.00007534659433,0.0001506931887,0.00007534659433,0.0001506931887,0.000226039783,0.04844786016,0,0.001506931887,643,0,20,0,0,4,1,0,4,1,1,3,1,0,1,4,5,0,0,5,0,4,1,5,0,1,1,2,1,2,3
Argo AI,2021,1,1,0,0,36734,36734,0,0,3,0.00002722273643,0.00008166820929,0,0.00002722273643,-0.000005,0.00002722273643,0,0,1,1,0,0.00002722273643,0.00005444547286,0,0.00008166820929,0.00008166820929,0,0.00008166820929,0,0.00008166820929,0,0.00008166820929,0,0,0.00002722273643,0.00005444547286,0.00002722273643,0,0,1,0,0,0,0,1,2,0,1,2,0,3,0,0,0,3,3,0,0,3,0,3,0,3,0,0,3,0,0,1,2
Atlas Robotics,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Aurora,2021,9,9,0,0,12646,12646,0,0,0,0.0007116874901,0,0,0.0007116874901,-0.000005,0.0001581527756,0.0005535347145,0,9,2,7,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,-0.00007907638779,0.000395381939,0.0003163055512,0,5,4,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
AutoX,2021,1,1,0,0,50108,50108,0,0,0,0.00001995689311,0,0,0.00001995689311,-0.000005,0.00001995689311,0,0,1,1,0,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,-0.00001995689311,0.00001995689311,0,0,1,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Baidu,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
BMW,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Box Bot,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
CRUISE,2021,21,21,0,0,882470.59,876105,0,6365.59,30,0.00002379682704,0.0000339954672,0,0.00002379682704,0,0.00002379682704,0,0,21,21,0,0.000007932275681,0.00001813091584,0.00000113318224,0.00003286228496,0.00002153046256,0.00001246500464,0.00003059592048,0.00000339954672,0.000028329556,0.000005665911201,0.0000169977336,0.00001586455136,0.00000113318224,0.0000113318224,0.0000226636448,0.00002379682704,0,0,21,0,0,0,0,7,16,7,7,23,1,26,3,0,1,29,19,8,3,19,11,27,3,25,5,0,15,14,1,10,20
Deeproute.AI,2021,2,2,0,0,30872,30872,0,0,0,0.0000647836227,0,0,0.0000647836227,-0.000005,0.0000647836227,0,0,2,2,0,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,-0.00003239181135,0.0000647836227,0,0,2,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
DiDi,2021,1,1,0,0,40745,40745,0,0,0,0.0000245428887,0,0,0.0000245428887,-0.000005,0.0000245428887,0,0,1,1,0,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,-0.0000245428887,0.0000245428887,0,0,1,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Drive.ai,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
EasyMile,2021,222,222,0,0,320,320,0,0,0,0.69375,0,0,0.69375,-0.000005,0.471875,0.221875,0,222,151,71,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,-0.003125,0.69375,0,0,222,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Gatik AI,2021,6,6,0,0,1924,1924,0,0,0,0.003118503119,0,0,0.003118503119,-0.000005,0.00103950104,0.002079002079,0,6,2,4,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,-0.0005197505198,0.003118503119,0,0,6,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
INCEPTIO,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Lyft,2021,23,23,0,0,11199,11199,0,0,1,0.0020537548,0.00008929368694,0,0.0020537548,-0.000005,0.0020537548,0,0,23,23,0,0,0.00008929368694,0,0.00008929368694,0.00008929368694,0,0.00008929368694,0,0.00008929368694,0,0,0.00008929368694,0,0,0.00008929368694,0.0020537548,0,0,23,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
Mercedes Benz,2021,272,272,0,0,58613,58613,0,0,0,0.004640608739,0,0,0.004640608739,-0.000005,0.002780953031,0.001859655708,0,272,163,109,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,-0.00001706106154,0.004316448569,0.0003241601692,0,253,19,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Nissan,2021,17,17,0,0,508,508,0,0,0,0.03346456693,0,0,0.03346456693,-0.000005,0.03346456693,0,0,17,17,0,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,-0.001968503937,0.03346456693,0,0,17,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Nullmax,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Nuro,2021,23,23,0,0,59098,59098,0,0,0,0.0003891840671,0,0,0.0003891840671,-0.000005,0.0003891840671,0,0,23,23,0,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,-0.0000169210464,0.0003891840671,0,0,23,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
NVIDIA,2021,82,82,0,0,28004,28004,0,0,0,0.002928153121,0,0,0.002928153121,-0.000005,0.002928153121,0,0,82,82,0,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,-0.0000357091844,0.001821168405,0.0009641479789,0.0001428367376,51,27,4,0,0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Phantom AI,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
PlusAI,2021,-0.2,-0.2,-0.2,-0.2,0,0,0,0,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.000005,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Pony.ai,2021,22,1,0,1,314660.86,305618,0,9042.86,2,0.00006991654443,0.000006356049494,0.000003178024747,0.00006673851969,0.0001105844832,0.00006673851969,0.000003178024747,1,21,21,1,0,0.000003178024747,0,0.000006356049494,0.000006356049494,0,0.000003178024747,0.000003178024747,0.000006356049494,0,0.000003178024747,0.000003178024747,0,0,0.000006356049494,0.00006991654443,0,0,22,0,0,0,0,0,1,1,0,2,0,0,2,0,0,2,2,0,0,2,0,1,1,2,0,0,1,1,0,0,2
